from_mg,to_a_mg,to_b_mg,band_dose_mg,var_below,var_above
27.58,30.55,30.54,28.8,4.0,-6.0
30.55,34.15,34.14,32.4,6.0,-5.0
34.15,37.76,37.75,36.0,5.0,-5.0
37.76,41.93,41.92,39.6,5.0,-6.0
41.93,46.74,46.73,44.4,6.0,-5.0
46.74,51.55,51.54,49.2,5.0,-5.0
51.55,56.92,56.91,54.0,5.0,-5.0
56.92,62.93,62.92,60.0,5.0,-5.0
62.93,68.93,68.92,66.0,5.0,-4.0
68.93,74.94,74.93,72.0,4.0,-4.0
74.94,80.95,80.94,78.0,4.0,-4.0
80.95,86.95,86.94,84.0,4.0,-3.0
86.95,92.95,92.94,90.0,4.0,-3.0
92.95,101.83,101.82,96.0,3.0,-6.0
101.83,113.84,113.83,108.0,6.0,-5.0
113.84,125.86,125.85,120.0,5.0,-5.0
125.86,137.87,137.86,132.0,5.0,-4.0
137.87,152.74,152.73,144.0,4.0,-6.0
152.74,170.76,170.75,162.0,6.0,-5.0
170.76,188.78,188.77,180.0,5.0,-5.0
188.78,206.8,206.79,198.0,5.0,-4.0
206.8,227.68,227.67,216.0,4.0,-5.0
227.68,254.56,254.55,240.0,5.0,-6.0
254.56,284.6,284.59,270.0,6.0,-5.0
284.6,317.49,317.48,300.0,5.0,-6.0
317.49,356.38,356.37,336.0,6.0,-6.0
356.38,398.45,398.44,378.0,6.0,-5.0
398.45,446.18,446.17,420.0,5.0,-6.0
446.18,503.11,503.1,474.0,6.0,-6.0
503.11,566.04,566.03,534.0,6.0,-6.0
566.04,637.81,637.8,600.0,6.0,-6.0
637.81,721.6,721.59,678.0,6.0,-6.0
721.6,817.41,817.4,768.0,6.0,-6.0
